id,listing_url,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
45006655,https://www.airbnb.com/rooms/45006655,1.0,2.0,$120.00,9,4.67,4.78,4.78
45013337,https://www.airbnb.com/rooms/45013337,,1.0,$122.00,5,5.0,5.0,4.4
45035105,https://www.airbnb.com/rooms/45035105,2.0,3.0,$97.00,8,3.88,4.13,3.75
45040816,https://www.airbnb.com/rooms/45040816,1.0,1.0,$52.00,31,4.68,4.77,4.65
45048204,https://www.airbnb.com/rooms/45048204,1.0,1.0,$81.00,16,4.75,5.0,4.75
45062046,https://www.airbnb.com/rooms/45062046,1.0,1.0,$50.00,29,4.83,4.93,4.83
45077683,https://www.airbnb.com/rooms/45077683,1.0,1.0,$45.00,9,5.0,5.0,4.56
45080616,https://www.airbnb.com/rooms/45080616,1.0,1.0,$107.00,1,1.0,2.0,2.0
45082688,https://www.airbnb.com/rooms/45082688,4.0,7.0,$533.00,27,4.11,4.37,4.19
45085283,https://www.airbnb.com/rooms/45085283,5.0,6.0,$616.00,22,4.91,5.0,4.82
45086146,https://www.airbnb.com/rooms/45086146,2.0,2.0,$304.00,70,4.9,4.96,4.87
45087904,https://www.airbnb.com/rooms/45087904,4.0,6.0,$1050.00,29,4.9,4.9,4.83
45092293,https://www.airbnb.com/rooms/45092293,3.0,3.0,$249.00,25,4.96,4.88,4.88
45102389,https://www.airbnb.com/rooms/45102389,2.0,2.0,$675.00,1,5.0,5.0,5.0
45103482,https://www.airbnb.com/rooms/45103482,4.0,6.0,$127.00,206,4.65,4.66,4.54
45103533,https://www.airbnb.com/rooms/45103533,3.0,3.0,$144.00,9,5.0,5.0,4.89
45117080,https://www.airbnb.com/rooms/45117080,1.0,2.0,$162.00,348,4.95,4.98,4.9
45124790,https://www.airbnb.com/rooms/45124790,2.0,3.0,$174.00,15,4.8,5.0,4.67
45135201,https://www.airbnb.com/rooms/45135201,1.0,1.0,$259.00,8,5.0,5.0,5.0
45141531,https://www.airbnb.com/rooms/45141531,2.0,2.0,$288.00,2,5.0,5.0,5.0
45141559,https://www.airbnb.com/rooms/45141559,1.0,2.0,$286.00,2,5.0,5.0,4.5
45141564,https://www.airbnb.com/rooms/45141564,1.0,2.0,$193.00,10,4.7,4.9,4.5
45145366,https://www.airbnb.com/rooms/45145366,1.0,1.0,$116.00,331,4.83,4.91,4.81
45147577,https://www.airbnb.com/rooms/45147577,1.0,2.0,$202.00,3,5.0,5.0,5.0
45147601,https://www.airbnb.com/rooms/45147601,3.0,5.0,$647.00,3,4.67,5.0,5.0
45147607,https://www.airbnb.com/rooms/45147607,4.0,8.0,$718.00,8,4.63,4.5,4.75
45147666,https://www.airbnb.com/rooms/45147666,7.0,13.0,$1453.00,12,4.83,5.0,4.67
45147668,https://www.airbnb.com/rooms/45147668,1.0,1.0,$194.00,5,4.6,4.6,4.2
45147671,https://www.airbnb.com/rooms/45147671,1.0,3.0,$193.00,6,4.33,5.0,4.5
45161007,https://www.airbnb.com/rooms/45161007,1.0,1.0,$149.00,5,5.0,5.0,5.0
45166477,https://www.airbnb.com/rooms/45166477,,2.0,$130.00,151,4.93,4.93,4.89
45188378,https://www.airbnb.com/rooms/45188378,3.0,3.0,$250.00,9,4.89,4.89,4.89
45188421,https://www.airbnb.com/rooms/45188421,,1.0,$108.00,33,4.82,4.73,4.73
45191804,https://www.airbnb.com/rooms/45191804,1.0,1.0,$167.00,6,5.0,5.0,4.83
45203041,https://www.airbnb.com/rooms/45203041,2.0,3.0,$191.00,27,4.93,4.93,4.85
45218453,https://www.airbnb.com/rooms/45218453,1.0,1.0,$236.00,57,5.0,5.0,4.95
45221098,https://www.airbnb.com/rooms/45221098,1.0,1.0,$164.00,32,4.94,4.97,4.91
45221683,https://www.airbnb.com/rooms/45221683,4.0,5.0,$474.00,56,4.98,4.96,4.95
45223807,https://www.airbnb.com/rooms/45223807,2.0,3.0,$177.00,152,4.62,4.72,4.61
45240418,https://www.airbnb.com/rooms/45240418,1.0,1.0,$90.00,19,4.21,4.74,4.79
45241119,https://www.airbnb.com/rooms/45241119,2.0,3.0,$246.00,13,4.85,5.0,4.92
45248532,https://www.airbnb.com/rooms/45248532,3.0,3.0,$289.00,7,4.57,4.57,4.57
45256876,https://www.airbnb.com/rooms/45256876,2.0,2.0,$107.00,7,4.57,5.0,4.71
45277991,https://www.airbnb.com/rooms/45277991,3.0,4.0,$390.00,17,5.0,5.0,5.0
45288695,https://www.airbnb.com/rooms/45288695,1.0,2.0,$160.00,0,,,
45291164,https://www.airbnb.com/rooms/45291164,1.0,1.0,$104.00,2,5.0,5.0,5.0
45304375,https://www.airbnb.com/rooms/45304375,2.0,3.0,$290.00,14,4.86,4.86,4.86
45312367,https://www.airbnb.com/rooms/45312367,3.0,6.0,$149.00,2,5.0,5.0,5.0
45313050,https://www.airbnb.com/rooms/45313050,4.0,5.0,$300.00,2,5.0,5.0,5.0
45331234,https://www.airbnb.com/rooms/45331234,2.0,2.0,$239.00,155,4.7,4.74,4.72
45349898,https://www.airbnb.com/rooms/45349898,3.0,3.0,$190.00,11,5.0,5.0,4.91
45350531,https://www.airbnb.com/rooms/45350531,1.0,1.0,$20.00,3,5.0,5.0,5.0
45371687,https://www.airbnb.com/rooms/45371687,2.0,4.0,$119.00,90,4.78,4.79,4.67
45386773,https://www.airbnb.com/rooms/45386773,3.0,3.0,$309.00,90,4.81,4.89,4.83
45401573,https://www.airbnb.com/rooms/45401573,4.0,3.0,$900.00,10,5.0,5.0,5.0
45410462,https://www.airbnb.com/rooms/45410462,4.0,4.0,$767.00,5,4.4,4.6,4.8
45418452,https://www.airbnb.com/rooms/45418452,1.0,1.0,$35.00,5,4.8,5.0,4.8
45419907,https://www.airbnb.com/rooms/45419907,3.0,5.0,$882.00,0,,,
45421911,https://www.airbnb.com/rooms/45421911,5.0,6.0,$2709.00,6,4.5,4.0,4.5
